name,phone_number,address,district,city,province,postal_code,rating,reviews,latitude,longitude,location_link
TB Subur Makmur,(024) 3511888,"Jl. MT. Haryono No.65, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.9,555,-6.9721843,110.4310073,"https://www.google.com/maps/place/TB+Subur+Makmur/@-6.9721843,110.4129829,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f35463d94545:0xa3829f66e38435ea!8m2!3d-6.9721843!4d110.4310073!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEVZHJ5X3dhbGxfc3VwcGx5X3N0b3Jl4AEA!16s%2Fg%2F1hm33tztx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
AJBS Bahan Bangunan Semarang,628113525179,"Jl. Majapahit No.256-258, Kalicari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50198",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50198,4.5,2725,-7.0057546,110.4553156,"https://www.google.com/maps/place/AJBS+Bahan+Bangunan+Semarang/@-7.0057546,110.4372912,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708cf22355ad99:0xa16f2f3a3cb94a5a!8m2!3d-7.0057546!4d110.4553156!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F1hm3w4fhg?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Sariaji Sejahtera | Toko Material Bahan Bangunan Komplit di Semarang,6281393070957,"Jl. Mgr Sugiyopranoto No.38, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50246",Kec. Semarang Sel.,Kota Semarang,Jawa Tengah,50246,4.4,131,-6.982971,110.405649,"https://www.google.com/maps/place/Sariaji+Sejahtera+%7C+Toko+Material+Bahan+Bangunan+Komplit+di+Semarang/@-6.982971,110.3876246,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708b4909524a9d:0x1327a8c5b1a2c8d9!8m2!3d-6.982971!4d110.405649!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEbYnVpbGRpbmdfbWF0ZXJpYWxzX3N1cHBsaWVy4AEA!16s%2Fg%2F1hm5w2n0g?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Mitra10 Semarang Supermarket Bahan Bangunan,6287800021010,"Jl. Soekarno Hatta No.299, Kalicari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50198",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50198,4.5,1470,-6.9872121,110.4553577,"https://www.google.com/maps/place/Mitra10+Semarang+Supermarket+Bahan+Bangunan/@-6.9872121,110.4373333,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708d5f2dc119dd:0x932579e2e75ceaac!8m2!3d-6.9872121!4d110.4553577!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEZYnVpbGRpbmdfbWF0ZXJpYWxzX21hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOdGEzWklaVEozUlJBQuABAA!16s%2Fg%2F11qnff1d1k?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunanku,62811297850,"Jl. Suyudono No.72, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244",Kec. Semarang Sel.,Kota Semarang,Jawa Tengah,50244,4.3,278,-6.9865155,110.4053783,"https://www.google.com/maps/place/Toko+Bangunanku/@-6.9865155,110.3873539,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708b47c991debf:0x598265d48e1850a0!8m2!3d-6.9865155!4d110.4053783!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11bc7t31nb?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunanku,62811297850,"Jl. Suyudono No.72, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244",Kec. Semarang Sel.,Kota Semarang,Jawa Tengah,50244,4.3,278,-6.9865155,110.4053783,"https://www.google.com/maps/place/Toko+Bangunanku/@-6.9865155,110.3873539,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708b47c991debf:0x598265d48e1850a0!8m2!3d-6.9865155!4d110.4053783!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11bc7t31nb?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
"Toko Bangunan SMB ""Sumber Material Bangunan""",(024) 3513214,"Jl. Bugangan Raya No.9, Rejosari, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50125",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50125,4.5,22,-6.9755875,110.4366172,"https://www.google.com/maps/place/Toko+Bangunan+SMB+%22Sumber+Material+Bangunan%22/@-6.9755875,110.4185928,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708cb2bb2883ff:0x8b18fc1f0f65446b!8m2!3d-6.9755875!4d110.4366172!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11dxcgygzx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
"Toko Bangunan SMB ""Sumber Material Bangunan""",(024) 3513214,"Jl. Bugangan Raya No.9, Rejosari, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50125",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50125,4.5,22,-6.9755875,110.4366172,"https://www.google.com/maps/place/Toko+Bangunan+SMB+%22Sumber+Material+Bangunan%22/@-6.9755875,110.4185928,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e708cb2bb2883ff:0x8b18fc1f0f65446b!8m2!3d-6.9755875!4d110.4366172!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11dxcgygzx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
TB Kalibaru Material Bangunan,6282279652258,"Jl. Kapten Laut Wiratno, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50136",Kec. Semarang Utara,Kota Semarang,Jawa Tengah,50136,4.7,20,-6.9586508,110.4212235,"https://www.google.com/maps/place/TB+Kalibaru+Material+Bangunan/@-6.9586508,110.4031991,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f5d4e205058b:0x584e3de23daa0061!8m2!3d-6.9586508!4d110.4212235!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11fk2gd4wq?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
TB Kalibaru Material Bangunan,6282279652258,"Jl. Kapten Laut Wiratno, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50136",Kec. Semarang Utara,Kota Semarang,Jawa Tengah,50136,4.7,20,-6.9586508,110.4212235,"https://www.google.com/maps/place/TB+Kalibaru+Material+Bangunan/@-6.9586508,110.4031991,15z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+Kota+Semarang!6e6!3m6!1s0x2e70f5d4e205058b:0x584e3de23daa0061!8m2!3d-6.9586508!4d110.4212235!15sCiFUb2tvIEJhaGFuIEJhbmd1bmFuIEtvdGEgU2VtYXJhbmdaIyIhdG9rbyBiYWhhbiBiYW5ndW5hbiBrb3RhIHNlbWFyYW5nkgEYYnVpbGRpbmdfbWF0ZXJpYWxzX3N0b3Jl4AEA!16s%2Fg%2F11fk2gd4wq?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
