name,phone,full_address,district,city,province,postal_code,reviews_score,reviews_amount,latitude,longitude,googlemaps_link
TB Subur Makmur,(024) 3511888,"Jl. MT. Haryono No.65, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.9,553,-6.9721843,110.3589095,"https://www.google.com/maps/place/TB+Subur+Makmur/@-6.9721843,110.3589095,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f35463d94545:0xa3829f66e38435ea!8m2!3d-6.9721843!4d110.4310073!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARVkcnlfd2FsbF9zdXBwbHlfc3RvcmXgAQA!16s%2Fg%2F1hm33tztx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Sariaji Sejahtera | Toko Material Bahan Bangunan Komplit di Semarang,6281393070957,"Jl. Mgr Sugiyopranoto No.38, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50246",Kec. Semarang Sel.,Kota Semarang,Jawa Tengah,50246,4.4,131,-6.982971,110.3335512,"https://www.google.com/maps/place/Sariaji+Sejahtera+%7C+Toko+Material+Bahan+Bangunan+Komplit+di+Semarang/@-6.982971,110.3335512,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708b4909524a9d:0x1327a8c5b1a2c8d9!8m2!3d-6.982971!4d110.405649!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARtidWlsZGluZ19tYXRlcmlhbHNfc3VwcGxpZXLgAQA!16s%2Fg%2F1hm5w2n0g?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
TB Megah Jaya,62811298582,"Jl. Pamularsih Raya No.111, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149",Kec. Semarang Barat,Kota Semarang,Jawa Tengah,50149,4.7,287,-6.9870693,110.3147546,"https://www.google.com/maps/place/TB+Megah+Jaya/@-6.9870693,110.3147546,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708b2f63ed72a9:0x4045e9fda698dbb4!8m2!3d-6.9870693!4d110.3868524!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1hm39rs_1?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan ANDA,6282125272345,"Jl. Tlogosari Raya Jl. Telaga Asmara I No.1B, Tlogosari Kulon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50196",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50196,4.5,688,-6.988644,110.3855072,"https://www.google.com/maps/place/Toko+Bangunan+ANDA/@-6.988644,110.3855072,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708cc4118e2ebf:0x50bff89c3b2d404e!8m2!3d-6.988644!4d110.457605!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1hc3pvxpq?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
AJBS Bahan Bangunan Semarang,628113525179,"Jl. Majapahit No.256258, Kalicari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50198",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50198,4.5,2728,-6.988644,110.3855072,"https://www.google.com/maps/place/AJBS+Bahan+Bangunan+Semarang/@-6.988644,110.3855072,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708cf22355ad99:0xa16f2f3a3cb94a5a!8m2!3d-7.0057546!4d110.4553156!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F1hm3w4fhg?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunanku,62811297850,"Jl. Suyudono No.72, Bulustalan, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244",Kec. Semarang Sel.,Kota Semarang,Jawa Tengah,50244,4.3,278,-6.9865155,110.3332805,"https://www.google.com/maps/place/Toko+Bangunanku/@-6.9865155,110.3332805,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708b47c991debf:0x598265d48e1850a0!8m2!3d-6.9865155!4d110.4053783!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11bc7t31nb?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Mitra10 Semarang Supermarket Bahan Bangunan,6287800021010,"Jl. Soekarno Hatta No.299, Kalicari, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50198",Kec. Pedurungan,Kota Semarang,Jawa Tengah,50198,4.5,1473,-6.9872121,110.3832599,"https://www.google.com/maps/place/Mitra10+Semarang+Supermarket+Bahan+Bangunan/@-6.9872121,110.3832599,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708d5f2dc119dd:0x932579e2e75ceaac!8m2!3d-6.9872121!4d110.4553577!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARlidWlsZGluZ19tYXRlcmlhbHNfbWFya2V04AEA!16s%2Fg%2F11qnff1d1k?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
"88 BAJA Home Solution Supplier  Distributor MDF/ Plywood, Triplek, Granite  Ceramic",(024) 3549098,"Jl. Pekojan Komplek Pertokoan THD Blok A  B No.8, Purwodinatan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50137",Kec. Semarang Tengah,Kota Semarang,Jawa Tengah,50137,4.9,1453,-6.9710689,110.3559899,"https://www.google.com/maps/place/88+BAJA+Home+Solution+Supplier+%26+Distributor+MDF%2F+Plywood,+Triplek,+Granite+%26+Ceramic/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f355c3ddc9d7:0x9652ef80f1bc4b9f!8m2!3d-6.9710689!4d110.4280877!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARtidWlsZGluZ19tYXRlcmlhbHNfc3VwcGxpZXLgAQA!16s%2Fg%2F1ts6ddmc?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
TB Kalibaru Material Bangunan,6282279652258,"Jl. Kapten Laut Wiratno, Bandarharjo, Kec. Semarang Utara, Kota Semarang, Jawa Tengah 50136",Kec. Semarang Utara,Kota Semarang,Jawa Tengah,50136,4.7,20,-6.9710689,110.3559899,"https://www.google.com/maps/place/TB+Kalibaru+Material+Bangunan/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e70f5d4e205058b:0x584e3de23daa0061!8m2!3d-6.9586508!4d110.4212235!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11fk2gd4wq?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
Toko Bangunan SMB Sumber Material Bangunan,(024) 3513214,"Jl. Bugangan Raya No.9, Rejosari, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50125",Kec. Semarang Tim.,Kota Semarang,Jawa Tengah,50125,4.5,22,-6.9710689,110.3559899,"https://www.google.com/maps/place/Toko+Bangunan+SMB+%22Sumber+Material+Bangunan%22/@-6.9710689,110.3559899,13z/data=!4m11!1m3!2m2!1sToko+Bahan+Bangunan+en+Semarang!6e6!3m6!1s0x2e708cb2bb2883ff:0x8b18fc1f0f65446b!8m2!3d-6.9755875!4d110.4366172!15sCh9Ub2tvIEJhaGFuIEJhbmd1bmFuIGVuIFNlbWFyYW5nWiEiH3Rva28gYmFoYW4gYmFuZ3VuYW4gZW4gc2VtYXJhbmeSARhidWlsZGluZ19tYXRlcmlhbHNfc3RvcmXgAQA!16s%2Fg%2F11dxcgygzx?entry=ttu&g_ep=EgoyMDI0MTExOS4yIKXMDSoASAFQAw%3D%3D"
